"id","username","password","name","regtime","borntime","phone","email","address"
"7","leu_ngoc_ðao","ðao","Leu Ngoc Ðao","05/09/1991 00:04:12","31/01/1984 16:49:08","04. 3622 8177","LeuNgocÐao@gmail.com","181 Bach Mai, Tan Phong Ward, Ho Chi Minh City"
"25","thuc_tue_lam","lam","Thuc Tue Lam","22/11/1986 16:21:20","21/12/1984 06:57:50","(84-8) 8328495/9142786","ThucTueLam@gmail.com","33/52 To Ngoc Van Street, Ho Chi Minh City, Ho Chi Minh City"
"12","mang_phuong_giang","giang","Mang Phuong Giang","26/10/2004 15:06:50","12/08/1991 06:00:29","511-3736217","MangPhuongGiang@gmail.com","Road 10 Hoa Khanh IZ., Dong Nai, Long An"
"6","lam_my_thuan","thuan","Lam My Thuan","20/05/1997 00:11:15","04/03/1992 23:16:49","(84-8) 38 277 839","LamMyThuan@gmail.com","88 Nguyen Du Street, District 1, Ho Chi Minh City, Hanoi"
"24","khuc_tu_anh","anh","Khuc Tu Anh","23/05/1992 04:35:42","02/08/1990 03:51:19","(84-650) 3 782 752/(84-650) 3 782 788","KhucTuAnh@gmail.com","27-29 Hai Ba Trung Street, Ben Nghe Ward, District 1, Tay Ho District ., Hanoi"
"27","can_tuyet_tam","tam","Can Tuyet Tam","19/11/1985 20:14:06","05/11/1982 11:06:02","(84-511) 820475","CanTuyetTam@gmail.com","347A Tran Xuan Soan St., Tan Kieng Ward, Dist. 7, Ho Chi Minh City, Ho Chi Minh City"
"23","cong_truc_mai","mai","Cong Truc Mai","11/01/1995 11:00:19","19/09/1981 11:34:08","(84-8) 4331847","CongTrucMai@gmail.com","30 Lo A, Trung tam Thuong mai Tan Thanh, Phu My, Ho Chi Minh City, Ho Chi Minh City"
"15","dao_quynh_dung","dung","Dao Quynh Dung","30/05/2001 21:58:47","04/01/1982 19:52:21","(84-4) 38 74 0761","DaoQuynhDung@gmail.com","32 Giang Cao, Bat Trang Village, Ba Dinh District ., Ho Chi Minh City"
"15","dao_quynh_dung","dung","Dao Quynh Dung","30/05/2001 21:58:47","04/01/1982 19:52:21","(84-4) 38 74 0761","DaoQuynhDung@gmail.com","32 Giang Cao, Bat Trang Village, Ba Dinh District ., Ho Chi Minh City"
"19","thai_thao_nguyen","nguyen","Thai Thao Nguyen","07/02/1995 09:49:20","02/01/1987 03:20:51","(84-8) 9570958","ThaiThaoNguyen@gmail.com","38-40 Nguyen Cong Hoan St., Go Vap District, Ho Chi Minh City"
